SCC,SC,Total,Pro1-1,Pro1-2,Pro1-3,Pro2,Pro3
3420161,EsIrWvfGou,27,5,,4,6,1
3420163,OclUpkNsIC,106,4,,2,19,
3420164,YuxtcvSKJe,22,2,,,2,
3420165,suhPZcrRLd,57,1,1,,1,
3420166,SCxQYFdZYF,112,3,1,3,5,
3420167,YVXVMpwCtA,25,2,2,3,3,
3420168,rjBgehTXox,132,5,5,4,27,2
3420169,oCQPjFRsHi,174,8,7,7,13,1
3420170,tOZBrsFzjW,49,2,2,1,3,1
3420171,cpIPnSFjFZ,170,17,13,19,53,3
3420172,sVcObcLqhz,34,2,2,3,8,1
3420173,hfJEOQreaW,119,,3,8,12,
3420174,wSYqnDzTsR,183,6,5,2,10,
3420175,EaoPQcgayr,155,3,,3,2,
3420176,wSYhHjlcoe,11,1,,,,
3420177,FPflCdLPbq,19,1,,,2,
3420178,znYwPWxMUJ,104,6,5,12,30,2
3420180,NKzPhuopQI,8,2,2,2,2,2
3420181,owDOJCGYGW,50,4,6,6,11,1
3420182,YgybJTyNSV,101,21,13,24,70,7
3420183,uGUsxcmNuh,115,9,6,8,14,1
3420184,kZhpYszxsc,98,5,7,9,15,1
3420185,pOaQjeXtAn,119,2,2,3,5,1
3420186,eyOXnGOzPU,153,4,9,9,20,1
3420187,FzgCtzYMox,115,8,8,17,16,6
3420188,XTWydKTKRH,66,8,5,7,11,2
3420189,kVWCtYCjhx,11,,,,,
3420190,THzoXhulnD,19,,1,1,11,
3420191,aUOUuCbhMj,41,6,11,19,27,10
3420192,mZVxmmAnjQ,126,8,7,12,19,3
3420194,JvJRuyeADz,46,,2,2,3,
3420195,JmoNuFsJrB,94,6,6,4,8,
3420196,dSESsVNSgi,76,6,8,8,13,2
3420197,oaKoWuHGSW,123,9,5,8,30,3
3420199,IxiOIGliYo,13,3,3,5,2,
3420200,ggTdlGtTti,44,1,,2,,
3420202,wkGkreeBkj,82,4,5,5,7,3
3420205,iToQWsWGfd,106,,3,1,3,
3420206,RMlIxbjnxk,50,7,1,4,17,
3420207,UKyVWmnAwG,5,,,1,,
3420208,XDOYcNYjTC,39,2,5,9,16,1
3420209,tktBgfYrWZ,138,9,9,26,45,2
3420210,WCgwsBBVwp,35,1,5,3,2,1
3420212,ocJUhtmOnC,99,12,15,11,55,2
3420213,JvHQCZLywv,191,7,5,3,5,
3420214,SDUvwLEdfd,200,6,6,5,5,1
3420215,HhzlKqOwrO,56,9,3,2,35,4
3420216,fQCrggOxto,71,1,5,3,12,
3420217,TfixwdRkDC,119,21,8,8,16,
3420218,OHaTKDZPih,148,31,16,22,53,4
3420219,qBzWDmCNYU,100,6,3,7,32,3
3420220,nDqkexVApY,116,7,4,5,30,2
3420221,uhzXaKtGmo,199,35,22,26,69,13
3420222,ObRQKJggjZ,11,,,,3,
3420223,tfHqtsoDOB,116,6,3,5,1,
3420224,eiVLbxKGbA,2,,,,,1
3420225,XVhoRvuiHd,31,3,4,6,9,
3420226,astuQMEFbJ,104,4,3,1,4,
3420227,mmOfyoXZPy,46,6,1,7,20,
3420228,EEMEzJAzCn,134,15,12,12,20,4
3420229,iAyWdXilqB,217,15,18,18,51,3
3420230,zPanwAeuhL,238,29,22,18,87,6
3420231,bqGyBGTzUh,15,1,,,,
3420232,ZndvsxTTOD,119,,1,5,12,
3420233,mFfojcYRbk,116,8,4,3,25,2
3420234,SxTsrzENIq,152,13,8,9,12,5
3420235,QLkiYvFcpk,78,,,,,
3420236,zaiCvbaZcS,37,3,1,1,2,
3420237,UmkHUiICTz,166,5,20,11,26,1
3420238,PUPDYKJteq,65,8,4,4,15,1
3420240,QUIkaIQQfA,127,13,5,13,35,2
3420241,shYgdMdtyJ,120,11,8,9,17,1
3420242,TPLJXVUwIB,68,2,4,1,3,1
3420243,jLQAvDbbzm,85,7,6,3,9,2
3420244,wgyBuhVCLz,121,2,6,4,7,
3420245,YXHfwQYjEC,143,19,18,26,45,13
3420246,jtoXMWHMAl,5,,,,,
3420247,PhqCJjSQNS,150,15,18,29,53,5
3420248,HkQvsFjotl,115,3,2,2,1,1
3420249,zbvWOzNRAZ,86,,3,3,12,
3420250,ebiwfpQEsi,14,,,,,
3420251,jfLzOrWcdG,13,1,,,,
3420252,duobHqMyBb,75,2,1,6,5,
3420253,KoxmcRJTuH,20,3,,1,3,
3420254,KnJWTbZxLa,11,,,2,4,
3420256,RABHCLOpEr,2,,,,,
3420258,tGqduxNvWs,1,1,,1,1,
3420262,fOmUlCuQJb,2,,,,,
3420263,VefEycCWNJ,276,16,4,12,17,1
3420264,lXZATgIsqr,28,3,1,3,14,1
3420265,eHULbJwrCx,55,8,7,14,19,8
3420266,ZJhnphaYvK,223,10,12,14,18,6
3420267,iyUVFZHlit,11,4,1,5,5,1
3420268,cgrCjrwfwL,34,2,1,4,12,
3420269,BnpjjMjBJX,5,2,1,1,1,
3420270,EOdhcYhTqS,13,,,,,
3420271,GGZAyAZbpJ,17,4,5,3,4,3
3430003,EjjBQVFIqs,70,2,1,,4,
3430004,jWQZjNgIwS,37,2,2,1,1,1
3430005,xZDLmYXdcA,37,4,2,,10,
3430006,DXQdtuBWVo,136,4,1,2,2,
3430007,BVZCoaXfAi,143,20,4,10,26,3
3430008,damknXMyEt,62,,3,2,6,
3430011,pZKkQxTfHF,52,3,2,2,12,3
3430012,ybuHsMwYVU,199,,,,,
3430016,adqrzLnfHz,25,1,1,,1,
3430019,CPjPrrhSSC,53,9,6,6,12,2
3430020,cAcshCAKKt,44,,1,,4,1
3430022,RZoHefLDBG,11,1,1,1,3,1
3430024,trjKIHgUXY,24,2,3,1,1,1
3510001,SJoIDieZcp,85,9,6,8,13,4
3510002,uPXDGqGGrC,137,5,1,3,8,2
3520001,cVAHCsWtAr,11,,,,,
3520002,AAXVFDAleq,9,1,8,,8,1
3520003,IqmXyNWmvh,19,3,,1,2,
3520006,EdgXbIhfDu,133,4,5,7,27,3
3520007,VaYBYeISyt,107,7,9,9,12,1
3520009,atWYlVGZJa,164,15,8,16,46,5
3520010,cJUpdVKhlJ,152,8,6,12,21,4
3520011,GGdQtnXltx,57,2,2,4,3,1
3520012,BPFonQUIAm,148,8,4,9,24,1
3520013,pSfPFwEgXi,104,4,6,10,18,1
3520014,ajYFyJjpiT,125,10,21,13,17,1
3520015,gxkuKJmnVu,109,9,2,2,11,
3520016,WhHIDGwDpl,117,14,10,9,55,2
3520017,QicgkScmel,56,,1,4,3,
3520018,ffiXQMDhLh,103,7,7,3,11,2
3520019,DxnsVFnSlo,70,14,10,13,28,1
3520020,bguXIKgjWd,32,1,10,1,8,
3520021,IdKUeGwfVZ,43,4,2,1,11,
3520022,zEWlCbCkKV,40,5,8,12,14,5
3520023,ToRpGbEyjP,105,3,12,9,53,5
3520024,pkslvmvMcL,138,18,9,20,45,1
3520025,PLhKPiySrq,187,39,20,31,65,5
3520026,tYjpQgZuab,205,19,18,20,48,5
3520027,HUoOHPSGPZ,77,4,6,7,3,1
3520028,MXNYvgXpGb,123,21,21,26,41,8
3520029,qjActiUGxz,176,22,15,21,32,8
3520030,KdWLsZuVFi,8,1,,1,1,
3520031,yaFcufyzHi,80,10,2,2,2,
3520032,zQOKSCBRuj,133,25,24,32,35,3
3520033,dDrnDtMjAD,63,5,4,3,4,
3520036,aiEqvexHoF,39,1,5,4,10,1
3520037,KGzTKaXJTl,33,,6,3,15,1
3520038,zMoRSuBxuo,74,5,4,6,2,2
3520039,lkyMOobIrt,42,3,3,5,8,2
3520040,TsWuAqXxND,24,1,,1,5,
3520041,glkAKnlhGU,129,5,3,5,7,3
3520042,zpdOLjDwTm,75,1,1,1,8,
3520043,JqFdRtUUtp,283,12,14,12,128,2
3520044,ncMCeubLRg,20,1,,,3,
3520045,qMKkYLzdKr,166,19,20,15,38,4
3520046,vwcHCFdVCw,9,,,,,
3520047,nmmZzIaKrj,81,3,4,6,10,2
3520049,HvKyXVRWOq,77,9,14,11,14,2
3520050,mSnxvfzzqt,149,11,18,9,46,2
3520051,gJsfUOztOg,31,3,,,3,
3520052,QhpmSvItpC,107,4,4,5,11,
3520053,spMCcLEcwP,95,10,9,12,11,1
3520055,dBhQvqJXkF,17,,,,,
3520056,PfBOLEhFAs,101,13,28,13,68,9
3520057,BjogBRCBlf,2,,,,,
3520058,cbAxVDWLRH,116,3,5,5,15,
3520059,LfOhQpQCis,64,6,6,6,5,2
3520060,MSssYBlVJL,56,2,3,3,7,
3520061,abZlufNijY,50,,1,,3,
3520062,mDdfzPqGsj,110,,1,5,6,
3520063,zkLTwXmfXd,53,2,,2,2,
3520064,BUtCVPrMnk,121,1,3,9,22,2
3520065,CCjxnDseFs,93,1,,,4,
3520066,DsXJHsuLdp,50,2,2,1,1,1
3520067,AjdHmZutCe,3,,,,1,
3520068,wmaSitOPTN,2,2,1,1,1,1
3520069,movhZRnHil,4,,1,,,
3520071,CgqeJlqTER,76,2,,3,3,
3520072,nVXTbItIaZ,34,1,3,2,6,
3520073,tGhsqRJgZN,92,3,9,3,5,2
3520074,ieIkuBxDFY,241,24,12,14,46,
3520075,fsdTvGBPiP,50,2,2,1,6,
3520076,MvdSAMdYcP,178,15,11,9,28,2
3520077,pIBYlnyCPK,20,3,1,3,10,
3520078,FCmjSdXmzq,73,2,3,1,23,2
3520079,LEJoYWfnFN,74,1,2,1,1,
3520080,sJAQLCoZZk,197,12,9,8,32,2
3520081,nvvAjGoKDY,1,1,1,1,1,1
3520082,rnfezHCSLI,35,2,9,1,1,1
3520083,SrzeILHRPY,12,,,1,7,
3520084,kDrxOELRlS,91,13,13,10,33,9
3520085,OMLiKbcTAF,156,14,7,11,52,
3520086,VAMXSqpdho,121,4,11,7,11,5
3520087,MCfkdplvFg,15,,,,4,
3520088,qkebZfuqdD,163,11,8,14,24,6
3520089,cynlKYZnKF,120,13,9,6,1,
3520090,bICUjdYdQz,40,2,,,3,
3520091,cLZLlrbfff,72,1,,5,18,1
3520093,ZfvPxmkqlO,186,8,6,12,31,8
3520094,yZWITrpnaT,56,2,1,3,1,
3520095,ssLvFfehkp,123,5,9,7,17,
3520096,UJuTOmBHGA,2,,,,,
3520097,ApEGQESxkT,72,4,1,4,4,
3520098,JcpEcVikWr,20,1,3,4,3,1
3520099,ZyLsbSDVFS,130,8,13,11,25,4
3520100,iewrVSlqoP,60,2,4,2,6,
3520101,jlzxlnKvit,64,3,3,5,3,1
3520102,VLVmOkRpGG,35,,,,7,1
3520103,hMooyWmQNb,109,14,5,3,29,1
3520106,zsWxfzfubD,177,10,16,8,34,5
3520107,wAzRIBVfWS,75,6,2,4,2,
3520108,bBZyeNydJP,10,,1,1,,
3520110,UUqiFElSYQ,11,,,,,
3520113,vmITdzEMwW,19,,5,,,
3520115,SfOvrtBwNJ,26,1,,,1,1
3520116,JIbFjzCclv,18,12,11,11,14,8
3520121,GatqdEmrpD,9,,,,,
3520123,ZWVZLKDOGk,39,2,2,1,8,
3520124,zmcNytjyMb,110,10,10,8,53,7
3520126,SDuyrEHFXZ,22,1,,1,6,
3520127,UgsGtuDomN,17,10,3,4,9,2
3520129,TQVLhxixFQ,44,4,4,2,23,2
3520130,TrnRaLXYKG,119,3,3,5,19,
3520131,ushGJNmmJY,6,1,,,1,
3520132,IliWzSHzJz,10,,1,3,1,
3520133,WRBuGZospT,2,,,,1,
3520135,sxjsTsPdLt,3,,,1,,
3520136,nHztiQuTKO,15,,,1,11,
3520137,vsXJCgiicJ,2,,,,,
3520138,hADZtIUgAE,1,,,,,
3520139,jzRpDncgir,7,,,,2,
3520140,ZZtZnXkljB,8,,,,6,
3520141,QlRKSBYnZp,17,6,4,2,13,2
3520142,QWZzNStBvV,72,6,12,4,31,2
3520143,rNftWcHULO,136,11,12,13,30,6
3520144,OavcjTwWXa,8,,,,1,
3520145,reamoKLfHY,12,3,,,2,
3520147,rCSxJZUAyN,28,2,1,2,12,1
3520148,JyNxumhmOq,19,2,2,5,9,1
3520149,SLzydHBOwC,8,,,,,
3520150,puNNhaKRFI,19,1,2,2,8,
3520151,VJFxKybTZD,73,,9,3,15,
3520153,DNaaNjPvpq,84,13,10,15,20,4
3520154,ywWKMGHIUz,136,12,7,19,44,6
3520155,AShGjTroin,45,9,15,12,21,3
3520156,HnmeBAYCKk,132,29,38,41,61,16
3520157,ktyyNkkdTq,167,11,9,10,62,10
3520158,rndkgoNqXI,149,1,,4,2,
3520159,wkHQvomoeK,97,11,12,9,32,5
3520160,vkkArqDknV,20,2,7,1,15,
3520161,bjKBnwkXmH,37,2,1,1,8,
3520162,pMiWpaxNbe,13,,,,,
3520163,ByBzWdUguB,79,3,2,3,8,1
3520164,GGPoiwuPxP,3,,,1,1,
3520165,yGgoUMIyFk,14,4,3,2,7,1
3520166,WNrIvvScsn,43,3,3,5,12,
3520167,CUxfjBvkqt,164,13,14,9,66,3
3520168,dHNHwZLcNL,16,1,1,,,
3520169,oKAMsVRrhI,65,6,5,16,17,1
3520170,BBTEWcULwO,77,3,4,2,18,
3520171,EmcwBsMSlf,2,2,2,2,2,2
3520174,zeMHnxcRDu,41,2,1,3,12,
3520175,THJZDXyiGP,9,6,6,5,8,6
3520177,TZhSvqnrIu,24,,,,,
3520178,EuuuYFPkgB,15,1,,,11,
3520179,IOenYxOcvh,1,,,,,
3530003,eqQwOWTShh,19,,,,,
3530005,IqmbniJPvJ,37,10,11,7,7,
3530007,hhWqvGxPJp,73,7,3,3,17,1
3530008,ToqSlgHhHC,107,2,2,3,,
3530009,ZvNqRKlAEW,56,1,2,,1,
3610001,tlySaCTjao,142,6,7,7,4,
3620002,MOcWSQNUiM,41,,,1,3,
3620003,MOMxXNWdjL,22,3,1,3,6,1
3620004,lXVBXRunHO,104,6,4,5,23,
3620005,gJfNJlWVim,31,,,,,
3620006,JjIdQVgdRN,141,1,3,3,8,1
3620008,iiysJDHzXM,144,7,7,9,16,1
3620009,tzMLtjLzcC,10,,,1,,
3620010,iEpnrzHgcs,20,2,,,6,
3620011,cYHWKbBveQ,4,,,,,
3620012,ynzqIcQURa,92,9,3,9,15,
3620013,afZqdadgZO,16,2,2,2,2,1
3620014,GAgKxOhLbf,99,3,2,3,3,
3620015,DpjQvPTIHf,58,14,7,3,17,2
3620016,XmfavgujOK,70,2,1,2,7,
3620017,NvMqgznhyI,57,2,3,1,4,1
3620020,ianpkTwEfS,21,2,1,1,4,
3620021,lFHBGgirbI,118,5,8,5,42,1
3620022,ItNDkvjHOo,46,1,1,1,9,
3620023,WjLJnnXzkK,56,3,1,,7,
3620024,lwTeQznNim,40,7,3,3,2,
3620026,hzZCjuDDyV,16,1,1,,2,
3620027,vuLNGGVVff,26,2,,4,11,
3620028,rVDODJcKnj,34,3,1,1,1,
3620029,WRTMsJyOVN,17,2,1,2,,
3620030,qtJjndOPUL,4,,,,,
3620032,ZRTaeLFqNw,66,13,5,4,6,
3620033,McHtTmvIkG,2,,,1,1,
3620034,RAxycDqeFx,40,1,2,1,3,
3620036,IBIMaqVskk,143,12,8,11,33,5
3620038,aNxZvoDOTw,131,9,2,6,29,3
3620039,WTLBAsoCHM,8,1,1,1,1,1
3620040,hJMREcjEuk,101,27,17,17,63,11
3620041,kUiOjIgCQd,28,1,1,1,2,1
3620043,KukUSBTVEk,54,1,1,2,7,1
3620044,mCVmYfPpfL,155,7,14,7,45,1
3620045,WeafuRwUKQ,69,2,4,1,3,
3620046,IJYOGYGldU,51,1,4,1,3,
3620047,RUMkJUdSZZ,114,,,,5,
3620048,IaneOXZXOM,1,,,,1,
3620049,fwXSwDcGKx,4,,,,,
3620050,KhnuXIzEiZ,22,5,3,7,9,1
3620051,iNbvpIBhnV,148,14,3,3,7,
3620052,vHXrGdMiFc,169,5,4,7,11,1
3620053,rIHpOAQgmR,48,1,,1,2,
3620054,VmibvTBLgF,213,24,13,11,81,6
3620055,ZBtkqPVGPj,218,26,16,11,36,4
3620056,bsrIsfLPVv,132,5,8,5,37,1
3620057,jDuiJjpKSV,97,23,13,9,46,4
3620058,pXgVTdwkui,135,8,2,1,12,
3620059,XrRqLUxFsx,199,29,17,18,71,8
3620060,hYVUPGCCpy,4,,,,,
3620061,eCHNYbqmWG,178,22,16,14,57,9
3620062,leqidlHbWW,11,3,1,,4,
3620063,mSxCLuNruE,120,15,7,6,11,3
3620064,PNaSzcizpG,36,1,2,4,16,
3620066,CstcHXbAcO,26,3,,,,
3620068,itGvrQvcKr,17,,,,1,
3620069,ENvUUyzMeY,90,11,3,2,3,1
3620071,ernMwSdBwW,26,,1,,3,1
3620072,eHFOmNSIMX,9,,,,1,
3620074,kaWBLLlnnE,31,,1,2,2,
3620075,NzwVqKScpo,26,,,,,
3620076,qopQMUFGpm,53,2,2,1,,
3620077,ZmpRRNEGvS,16,,,,1,
3620078,vvJPfGplhZ,65,3,1,,8,1
3620079,DAfFJzcPGi,1,1,,1,1,1
3620080,ymymMgmqrm,32,2,,1,,
3620081,ImYhMKZauk,199,34,16,15,65,16
3620082,CBRymqMfbG,22,5,2,3,8,3
3620083,zJdWzkMrrD,34,,1,,4,
3620084,EUXMGDuBNw,77,7,4,5,15,
3620086,gSNgGUiUSK,160,15,6,14,16,4
3620087,FPJqUFxhXh,75,4,2,2,13,
3620089,tTrmMXACDW,55,3,2,4,10,1
3620090,QqPXsBhHCs,179,18,9,9,57,5
3620091,KXjBKidBel,133,8,10,7,50,5
3620092,ohmmMrAKmL,54,8,6,7,13,
3620093,JeZcCEHoKR,2,,,,,
3620094,XyznmryREo,1,,,,,
3620096,SohVqDNrez,41,3,,4,9,1
3620097,VnkLCdbvWj,78,1,2,,3,
3620099,coJLdGhzvj,106,10,4,10,11,
3630001,bxmqcOPCNL,30,,,,,
3630002,nikTDaSRIC,95,3,1,1,5,
3710001,RSXXNeibwV,117,1,1,,3,
3710002,eLauwBkLeI,116,9,3,4,13,
3720001,IoVQCQXjRp,143,17,7,8,29,
3720004,kJGRUyGFtS,105,9,2,1,38,1
3720008,gvZajYltOT,135,8,10,10,32,2
3720009,iJQrtFSgQM,27,2,1,,7,
3720010,MNcOLzKgZF,149,16,11,6,48,2
3720011,oobDmYTdCd,155,10,11,5,23,4
3720012,kZyJyobNka,5,2,2,2,1,1
3720013,GZOwjaKYZM,101,17,15,6,26,6
3720014,ufHuflTJUj,98,23,19,22,41,14
3720015,jqPCkkVMfI,159,16,13,9,9,6
3720016,DaXMZtVJJy,44,5,3,5,9,2
3720017,iphYCwOgLK,83,3,1,5,10,1
3720019,CZnOPugqzn,256,45,31,25,40,14
3720020,JXqUTpsenr,197,38,16,11,33,9
3720021,CqudtjFKze,240,49,11,12,13,3
3720022,PkjbgvpJsL,160,48,16,13,42,3
3720023,ZgOJJKEvkk,2,,1,,,
3720024,jlKjHJEpci,54,4,4,5,8,
3720025,uNHzfbHJVs,111,3,2,2,8,
3720028,yenOvwpyqV,8,1,,,2,2
3720029,ROHSEMljnT,1,,,,,
3720030,evZHOftIxs,27,1,,1,3,
3720031,dEHSKTXJmB,91,6,3,5,6,2
3720032,jQkiiiQEYd,18,2,2,3,5,
3720033,UOykXWGysX,168,25,18,13,23,1
3720034,xztXoLElPn,49,12,5,6,14,1
3720035,XLqokKYSLD,201,29,14,16,13,1
3720036,rvjaTgTUZn,187,27,17,12,23,1
3720037,nNpfpZStDz,182,23,13,14,10,2
3720039,MZYAQUKqhH,214,56,31,17,46,8
3720040,WKrmYhehWs,255,29,26,31,102,4
3720041,acKreJwPyU,60,24,14,12,33,10
3720042,dPwBpGaHti,229,51,35,30,60,10
3720043,VTWVOBVgRi,247,47,11,19,29,
3720044,mlWqTXFybu,195,33,29,20,80,6
3720045,IGyRhEwxpm,218,16,15,15,41,2
3720046,TZAUVrolvb,235,53,29,23,68,7
3720048,hiVUsncljR,220,11,4,3,26,2
3720049,MYLcBQLcRS,23,12,3,7,6,1
3720050,xVYQQuCLLF,135,45,23,19,31,6
3720051,xhaTZvNDlw,270,40,12,12,29,2
3720052,xCkbWSRnMj,301,59,40,39,141,12
3720054,cNOoGSDpfT,128,17,10,16,57,2
3720055,rAciwUxEKp,6,1,,,4,
3720056,nhKVHUWUQI,82,7,6,4,6,1
3720057,eCNiwPPJcx,155,10,13,6,54,2
3720059,inqMnZnmKI,142,10,7,6,15,4
3720060,lMBrtSWOdo,70,3,4,3,11,
3720061,QvquznIAkQ,56,16,5,4,16,
3720062,temhEflmBN,86,6,9,9,17,1
3720063,nQcmeTtsVs,35,3,2,1,7,
3720064,RfnYepErJn,85,2,1,,11,
3720065,CGPCpGshKW,269,36,14,18,78,4
3720068,igmPhEGhRa,94,6,3,2,9,1
3720069,gjafYseXaW,125,41,21,20,39,11
3720070,hhpTliNkkg,180,46,22,17,71,14
3720071,XKJwzwxjZU,22,1,1,3,,
3720072,dacQTgrENO,93,9,2,1,6,
3720073,AeRKKctojC,5,,,,1,
3720074,NeNQvaJXim,39,15,4,2,9,1
3720075,RiwFstubyg,105,20,16,13,59,5
3720076,YbOEZPJRtC,60,2,1,,10,
3720079,RcPRINYAIg,114,10,4,3,18,1
3720082,fqoqoHJRBK,94,8,6,5,22,
3720083,YYcWGgQgVA,1,1,1,1,1,1
3720084,NoeQRIDkoW,121,6,5,1,14,2
3720085,cGtcOMnilN,106,9,11,6,21,5
3720086,IdkzsDAfXR,3,1,1,1,,
3730001,HflXWesyml,40,1,1,2,,
3730003,GuwBpdlOAQ,83,,,,,
3730004,ZowWSQJAZb,64,1,,3,1,
3810001,NzWTgpVcPT,153,5,5,4,5,4
3820001,xwwAbYGlVt,24,,1,1,,
3820002,NblYtDcTKb,61,1,,1,3,
3820003,gVdfNYWPyl,39,2,,,9,
3820007,pkjcVNBNuX,3,,,,1,
3820011,oifCjLHYCR,150,5,3,,4,
3820013,ExjXFgRtwj,120,6,3,4,19,2
3820014,nRniZaMQyh,152,6,2,5,5,
3820015,pDqyLrHkBy,2,,,,,
3820016,bYBYHBniVZ,25,,,,2,
3820017,MfNSIkuugB,8,,,,,
3820018,XCFLNiSlRK,8,,,,2,
3820019,FhDwTHcAyg,59,4,,1,4,
3820021,PYNiaCRYII,194,22,20,10,62,3
3820023,KhrGCcKUol,19,,,,1,
3820025,waHNaNQqWR,55,7,5,5,8,5
3820026,AHcQKMwBuU,40,3,5,5,14,2
3820027,wGBFCIHwMI,115,9,11,8,37,9
3820028,nkGxJfJxAI,94,16,21,21,51,12
3820029,CNIbBajCkV,103,6,7,14,38,3
3820030,aPUgSJGlJa,76,,1,3,10,
3820031,ztHqgvmOWV,74,13,11,18,44,8
3820032,opePVzkWNP,12,,2,,1,
3820033,FzYiruUuCt,35,,,,3,1
3820034,vQERaZodZg,17,,,,,
3820037,KzlNcDLiOA,6,,1,,,
3820039,ylhuFvlLKJ,32,,,,1,
3820042,MFxUpNnRLv,33,,,,,
3820043,tTTThsSgpX,47,,3,,2,
3820044,COkIcuEUwc,81,3,3,6,6,
3820046,xgedDwqrYB,155,2,2,1,2,
3820049,rTpDwSzsOx,54,,,1,4,
3820050,dkdHVsQtgx,20,,,,,
3820051,djxAVqEKAE,147,2,4,4,54,2
3820052,PrKTlCsKCV,154,3,3,2,10,1
3820053,cpuOLnovzP,39,2,1,1,2,1
3820055,VtOMDuShqy,103,2,1,1,6,2
3820056,igWpQtCKff,125,4,,5,7,1
3820057,DqLksnFGts,94,6,4,3,13,3
3820058,BtenPxrDOk,111,6,8,6,45,3
3820059,hSpLoEfrvT,78,1,2,,47,3
3820060,RDywnupCpW,138,33,17,18,68,12
3820061,SxDMHmsdsE,151,7,6,10,37,7
3820062,rJIMrWvTUf,98,11,5,10,65,6
3820063,ZcyLPVSaAq,58,2,4,6,10,
3820064,KOOUAokgWi,126,3,5,5,14,1
3820065,zXauWPDydl,142,16,16,17,56,7
3820066,McaudIIhuD,85,3,2,5,7,2
3820067,FddLAHfXey,262,17,8,20,51,1
3820068,kLulSGZFPw,5,,,,,1
3820069,XcZqmtacMk,151,30,25,26,51,12
3820070,pboeJgjxrT,37,2,,1,1,
3820071,rPhENsRBnV,182,10,6,5,35,2
3820072,YGrnjDtFun,209,9,9,13,50,1
3820073,voBwUrIyln,109,5,4,5,14,
3820074,UXCCYcpMaC,154,4,8,9,12,1
3820075,otlZvBTbyu,192,10,9,18,22,
3820076,AlDDFhNgKj,121,3,4,4,16,
3820077,YoTRUTXDjm,11,,1,1,8,
3820078,DCDhqtNdNn,169,6,12,13,92,5
3820079,QtlPbagepp,157,4,3,3,17,
3820080,SiXwcOmgYs,83,1,3,4,4,
3820081,FGdDaYGvLO,39,1,2,3,12,1
3820082,GEUVkKpjSl,166,1,2,3,8,1
3820083,gBPerEIqHe,140,3,4,7,25,
3820084,IEDpJVWUoj,219,15,16,21,53,6
3820085,OiThVmOAuz,167,12,7,10,41,1
3820086,RcXFjvSYqY,7,,1,,,
3820087,zCIfWbCMHO,132,14,10,18,11,1
3820088,naitPDgGfO,75,3,6,6,6,2
3820089,gLRbfWBovt,109,6,5,7,15,1
3820090,sxIXupwbhH,215,16,25,17,58,5
3820091,TybSvEdKBq,177,8,8,11,49,1
3820092,MlSktTpqHT,58,1,1,1,23,1
3820093,jfCqVnMeBm,104,5,4,5,14,3
3820094,FGWNVpNkvj,71,5,2,2,9,1
3820095,kszVaYWfjh,27,,2,,6,
3820096,BMaJDamgeP,13,,,,,
3820097,hoeoCAZUaI,27,,,,5,
3820098,UVNRrnWYwQ,1,1,1,,,
3820100,weJPNUCDYr,109,10,11,9,67,4
3820101,PZJNnoqByK,75,8,7,7,36,1
3820102,kpkJUeodvf,160,21,10,11,37,3
3820103,iDUiXZZKOe,74,10,8,7,11,4
3820104,fbenRKbReu,50,,1,,11,1
3820105,lBFVVSYYir,6,,,,1,
3820106,LdYdkhsphu,35,8,7,3,8,3
3820107,JlgpYshnBf,154,29,19,14,41,4
3820108,PNEdXccRvx,122,17,9,12,48,1
3820109,ycunvRLZMH,132,4,3,,7,
3820110,LtNcmQHHZF,5,,,,,
3820111,fnLFGdTSHl,55,9,6,6,12,7
3820112,QaKErEBknE,47,1,1,,2,
3820113,wPCcyEylzf,57,5,5,10,19,7
3820114,bmDvaDgTFf,50,4,4,2,12,1
3820115,NWppHmEMIC,131,6,10,12,46,6
3820116,GmYobRqwIo,112,7,11,10,20,4
3820117,iavgZohtwT,193,14,10,16,48,9
3820118,rchnnYCwYW,15,,,1,1,
3820119,bubdKvPBrU,60,1,,1,7,1
3820120,lXJVoApZXA,45,3,2,2,5,
3820121,PPPQOFtKJm,125,1,1,5,5,1
3820122,mczwKglnVJ,135,15,16,6,26,2
3820123,VEhJTlTjKC,38,,1,,1,
3820124,yScxszMGjZ,16,,,,10,
3820125,BrjcVFzZlf,14,3,1,2,6,
3820126,AumHshKyXS,59,1,1,2,,
3820127,EAkRwspRRL,5,,,,,
3820128,vQdiCFnYOI,14,3,,3,1,
3820129,OyYDWhYzdU,32,5,2,1,19,5
3820130,McNrpstAIX,33,1,,1,,
3820131,lvvUNxjQso,20,,,,,
3820132,aKappxkXmd,68,11,15,13,25,3
3820133,VOShKgBtfV,118,10,6,8,36,3
3820134,CeEyZrSBQb,35,2,3,1,6,
3820135,xySoXabwyf,15,,,,,
3820137,bMbtqFkRHX,179,27,21,24,113,12
3820138,EOWwrZvwxG,195,10,4,2,5,1
3820139,KtGjHAzsCv,96,8,2,4,36,2
3820140,GCraWIuRhp,47,3,4,2,4,2
3820141,OPjqxXeern,19,,1,,,
3820142,ZghHMLCknZ,4,,1,,1,
3820143,OUhrrbwuCj,79,,1,1,3,
3820144,McpddusDWN,38,1,,1,,
3820145,PFKSnNFtXY,43,1,1,2,19,
3820146,uzQtRaCkhI,3,,,,,
3820150,AJQgxJgPrK,86,3,1,4,6,
3820151,bBnWfaVNoY,91,3,3,5,17,1
3820152,ZNgnFDRXju,3,,,,1,
